epoch,accuracy,loss,val_accuracy,val_loss
0,0.6540647745132446,0.7153797149658203,0.738467276096344,0.5020932555198669
1,0.7374687194824219,0.5105046033859253,0.75390625,0.49403589963912964
2,0.7531986832618713,0.482122004032135,0.7566964030265808,0.42656949162483215
3,0.7636784315109253,0.4513256549835205,0.7568824291229248,0.41750189661979675
4,0.7672544121742249,0.43436503410339355,0.7765997052192688,0.39769718050956726
5,0.7777341604232788,0.41095370054244995,0.7784598469734192,0.40104371309280396
6,0.7803798913955688,0.39745983481407166,0.7838541865348816,0.38233330845832825
7,0.7880278825759888,0.3862171471118927,0.7998511791229248,0.38037943840026855
8,0.7886273264884949,0.38031718134880066,0.7901785969734192,0.3754901587963104
9,0.7963579297065735,0.37663525342941284,0.7983630895614624,0.37426257133483887
10,0.8009880185127258,0.36829251050949097,0.7963169813156128,0.3773563504219055
11,0.802910327911377,0.36397847533226013,0.7987351417541504,0.3686721920967102
12,0.8053081035614014,0.3618883490562439,0.7914806604385376,0.3778238892555237
13,0.8059281706809998,0.3599865436553955,0.8015252947807312,0.3607189953327179
14,0.8117778301239014,0.35244596004486084,0.8061755895614624,0.3612704873085022
15,0.8149610161781311,0.3495950400829315,0.8095238208770752,0.3561997711658478
16,0.8139688968658447,0.35004425048828125,0.8125,0.35757502913475037
17,0.8166972994804382,0.344870924949646,0.808221697807312,0.3636220395565033
18,0.8209553956985474,0.34391650557518005,0.8031994104385376,0.36945492029190063
19,0.82240229845047,0.3401442766189575,0.80859375,0.3670775592327118
20,0.8249653577804565,0.33442264795303345,0.8067336082458496,0.35729682445526123
21,0.827549159526825,0.33054277300834656,0.8069196343421936,0.36469897627830505
22,0.8270943760871887,0.3264412581920624,0.8022693395614624,0.35891973972320557
23,0.8296574950218201,0.32845908403396606,0.8106398582458496,0.3619675636291504
24,0.8341636061668396,0.32133257389068604,0.7983630895614624,0.3636292815208435
