epoch,accuracy,loss,val_accuracy,val_loss
0,0.8575621843338013,0.3156129717826843,0.8816964030265808,0.2652676999568939
1,0.904607355594635,0.2160268872976303,0.8757440447807312,0.26404204964637756
2,0.9312304854393005,0.15536059439182281,0.8720238208770752,0.3098931610584259
3,0.9616362452507019,0.08892563730478287,0.8610491156578064,0.4081050753593445
4,0.978275716304779,0.052347682416439056,0.8515625,0.6440171003341675
5,0.9844560623168945,0.03935329616069794,0.8640252947807312,0.6282210350036621
6,0.9904297590255737,0.024989627301692963,0.85546875,0.740040123462677
7,0.993323564529419,0.01896880567073822,0.8537946343421936,0.7673846483230591
8,0.9951425194740295,0.014118987135589123,0.863653302192688,0.9423138499259949
9,0.9961966872215271,0.011552182957530022,0.8577008843421936,0.9369801878929138
10,0.9975816011428833,0.007154433988034725,0.8515625,1.1139274835586548
11,0.9958246350288391,0.013626120053231716,0.8547247052192688,1.0009679794311523
12,0.9977262616157532,0.007318326272070408,0.8484002947807312,0.9552168846130371
13,0.998677134513855,0.00435137003660202,0.8575148582458496,1.1507865190505981
14,0.9986150860786438,0.004662054590880871,0.8482142686843872,1.1136600971221924
15,0.9988011121749878,0.003689736360684037,0.8515625,1.2494405508041382
16,0.9986357688903809,0.004867421463131905,0.8563988208770752,1.152550220489502
17,0.9984290599822998,0.005149947479367256,0.855096697807312,1.0739412307739258
18,0.9989665150642395,0.0031100830528885126,0.8573288917541504,1.3268134593963623
19,0.9992765188217163,0.0023220067378133535,0.855840802192688,1.202063798904419
20,0.9994832277297974,0.0018989765085279942,0.8560267686843872,1.4424009323120117
21,0.9989251494407654,0.003292499342933297,0.8532366156578064,1.3549309968948364
22,0.9987391233444214,0.004102768842130899,0.8387276530265808,1.4330888986587524
23,0.9991938471794128,0.0024890932254493237,0.8537946343421936,1.305102825164795
24,0.9990904927253723,0.002501706825569272,0.8508184552192688,1.3411891460418701
